"","work_year","job_category","salary_in_usd","experience_level","employment_type","work_setting","company_size","is_Data_Engineer","is_Data_Scientist","is_Data_Analyst","is_Machine_Learning_Engineer","is_Applied_Scientist","is_Research_Scientist","is_Analytics_Engineer","is_Data_Architect","is_residence_US"
"7975",2022,"Data Engineering",80000,"Mid-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7976",2022,"Data Engineering",65000,"Mid-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7977",2022,"Data Engineering",135000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7978",2022,"Data Engineering",100000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"7979",2022,"Data Engineering",61566,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,0
"7980",2022,"Data Engineering",43096,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,0
"7981",2022,"Data Engineering",175000,"Mid-level","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7982",2022,"Data Engineering",135000,"Mid-level","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7983",2022,"Data Science and Research",80000,"Entry-level","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"7984",2022,"Data Engineering",231250,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7985",2022,"Data Engineering",138750,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7986",2022,"Leadership and Management",193750,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"7987",2022,"Leadership and Management",116250,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"7988",2022,"Data Engineering",231250,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7989",2022,"Data Engineering",138750,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"7990",2022,"Leadership and Management",231250,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"7991",2022,"Leadership and Management",138750,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"7992",2022,"Leadership and Management",231250,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
